Date,Customer Name,Phone,Alternative Phone,Address,Area,State,Product Name,Quantity,Total Amount,Status,Customer Rep,Delivery Agent,Order ID,Notes
2026-01-05T21:34:01.797Z,James Annan,577976791,,"House 289, Street 54",Kasoa,Central,,,1708,preparing,Akua Nkrumah,Unassigned,1112,
2026-01-04T00:08:14.925Z,Solomon Mensah,263940430,,"House 432, Street 20",Koforidua,Eastern,,,530,failed_delivery,Akua Nkrumah,Faith Owusu,1051,
2026-01-03T20:48:59.799Z,Peter Gyasi,279314005,,"House 330, Street 51",Achimota,Greater Accra,,,476,out_for_delivery,Elizabeth Amponsah,Ruth Adjei,1017,
2026-01-02T19:31:26.581Z,Yaw Boateng,262952094,,"House 153, Street 52",Dormaa Ahenkro,Bono,,,13697,pending_confirmation,Emmanuel Agyeman,Unassigned,1085,
2026-01-02T07:03:27.680Z,Solomon Boateng,276946956,,"House 457, Street 55",Keta,Volta,,,7317,out_for_delivery,Stephen Amponsah,Hannah Opoku,1091,
2026-01-01T15:50:08.453Z,Kwesi Adjei,507112717,,"House 331, Street 80",Hohoe,Volta,,,2520,confirmed,Emmanuel Agyeman,Unassigned,1047,
2025-12-31T21:03:24.255Z,Mary Addo,262542233,,"House 106, Street 50",Kumasi,Ashanti,,,15456,returned,David Opoku,Unassigned,1119,
2025-12-30T15:23:39.866Z,Solomon Amponsah,243681805,,"House 15, Street 19",Aflao,Volta,,,319,returned,David Opoku,Unassigned,1079,
2025-12-30T14:44:03.304Z,Yaw Boateng,262952094,,"House 153, Street 52",Dormaa Ahenkro,Bono,,,6376,preparing,Stephen Amponsah,Unassigned,1106,
2025-12-30T07:32:25.990Z,Elizabeth Ofori,266620120,,"House 427, Street 46",Berekum,Bono,,,3681,preparing,Joyce Adjei,Unassigned,1081,
2025-12-30T05:55:11.281Z,James Darko,205083155,,"House 264, Street 16",Cape Coast,Central,,,868,cancelled,Emmanuel Amponsah,Unassigned,1008,
2025-12-29T20:37:11.072Z,Sarah Gyasi,265408877,,"House 402, Street 32",Berekum,Bono,,,2166,delivered,Joyce Adjei,Peter Appiah,1046,
2025-12-28T04:14:39.268Z,John Ofori,249721043,,"House 216, Street 44",Bawku,Upper East,,,1807,preparing,Akua Nkrumah,Unassigned,1033,
2025-12-27T16:20:43.343Z,Sarah Appiah,545972138,,"House 153, Street 7",Prestea,Western,,,1907,out_for_delivery,Stephen Amponsah,Ruth Adjei,1074,
2025-12-27T15:39:07.246Z,Faith Opoku,549307159,,"House 104, Street 73",Bawku,Upper East,,,2611,cancelled,Elizabeth Amponsah,Unassigned,1029,
2025-12-26T00:32:38.331Z,Sarah Appiah,545972138,,"House 153, Street 7",Prestea,Western,,,748,confirmed,Mary Nkrumah,Unassigned,1089,
2025-12-25T06:00:04.452Z,Kwesi Darko,247837287,,"House 421, Street 21",Savelugu,Northern,,,15026,pending_confirmation,Joyce Adjei,Unassigned,1118,
2025-12-24T06:18:17.532Z,Isaac Adjei,547730304,,"House 149, Street 41",Axim,Western,,,6479,pending_confirmation,Emmanuel Amponsah,Unassigned,1024,
2025-12-23T18:43:58.038Z,Isaac Adjei,547730304,,"House 149, Street 41",Axim,Western,,,24155,confirmed,Stephen Amponsah,Unassigned,1070,
2025-12-21T16:45:16.731Z,Solomon Amponsah,243681805,,"House 15, Street 19",Aflao,Volta,,,6606,pending_confirmation,David Opoku,Unassigned,1009,
2025-12-21T11:55:09.036Z,Sarah Appiah,545972138,,"House 153, Street 7",Prestea,Western,,,4702,out_for_delivery,Rebecca Boateng,Solomon Addo,1063,
2025-12-21T03:59:24.754Z,Elizabeth Ofori,266620120,,"House 427, Street 46",Berekum,Bono,,,1666,returned,Elizabeth Amponsah,Unassigned,1020,
2025-12-20T12:16:09.388Z,Isaac Appiah,548110703,,"House 295, Street 17",Walewale,Northern,,,5574,delivered,Akua Nkrumah,Solomon Addo,1048,
2025-12-19T16:26:45.098Z,Faith Opoku,549307159,,"House 104, Street 73",Bawku,Upper East,,,13161,failed_delivery,Stephen Amponsah,Solomon Addo,1060,
2025-12-18T01:55:30.155Z,Peter Annan,205332120,,"House 176, Street 3",Tarkwa,Western,,,3367,pending_confirmation,Joyce Adjei,Unassigned,1005,
2025-12-17T09:37:24.210Z,Kwame Ofori,508563528,,"House 229, Street 42",Ejisu,Ashanti,,,8732,confirmed,Joyce Adjei,Unassigned,1019,
